"country","onPremiseAge","offPremiseAge","note","pop2021"
"Cyprus","17","17","","1215.5840"
"San Marino","16","16","","34.0170"
"Liechtenstein","16","16","No info provided by WHO; other sources list 16 for beer and wine/18 for spirits.","38.2500"
"Dominica","16","16","","72.1670"
"Saint Vincent and the Grenadines","16","16","","111.2630"
"Grenada","16","16","","113.0210"
"Saint Lucia","16","18","","184.4000"
"Luxembourg","16","16","","634.8140"
"Republic of the Congo","16","18","On-premise age minimum is 16 for beer and wine/18 for spirits.","5657.0130"
"Switzerland","16","16","16 for beer and wine/18 for spirits","8715.4940"
"Austria","16","16","Alcohol laws vary by state: three states have an age minimum of 16 while six states have a minimum age of 18.","9043.0700"
"Portugal","16","16","","10167.9250"
"Haiti","16","16","No info provided by WHO; other sources list drinking age as 16.","11541.6850"
"Belgium","16","16","On- and off-premise age minimum is 16 for beer and wine/18 for spirits.","11632.3260"
"Morocco","16","16","No info provided by WHO; other sources list 16 or 18 as the drinking age.","37344.7950"
"Spain","16","16","WHO lists the drinking age as 16; other sources say that the minimum age varies by region, that it is 18, or that minors may purchase alcohol if accompanied by their parents.","46745.2160"
"Germany","16","16","On- and off-premise age minimum is 16 for beer and wine/18 for spirits.","83900.4730"
"Antigua and Barbuda","10","10","","98.7310"
"Sao Tome and Principe","0","0","","223.3680"
"Solomon Islands","0","21","No info provided by WHO; other sources say drinking age is 21 but there is no minimum age for purchase.","703.9960"
"Timor-Leste","0","0","","1343.8730"
"Guinea-Bissau","0","0","","2015.4940"
"Sierra Leone","0","0","","8141.3430"
"Togo","0","0","","8478.2500"
"Bolivia","0","0","The drinking age used to be listed as 18, but the WHO no longer lists any age minimum.","11832.9400"
"Benin","0","0","","12451.0400"
"Cambodia","0","0","","16946.4380"
"Mali","0","0","","20855.7350"
"Burkina Faso","0","0","","21497.0960"
"Cameroon","0","0","The WHO lists no drinking age; other sources say 18 on-premise and 21 off-premise.","27224.2650"
"Indonesia","0","21","","276361.7830"
"China","0","0","The WHO lists no drinking age; other sources say a 2006 ban instituted a drinking age of 18 but say it is not enforced.","1444216.1070"
"Brunei","-1","-1","Non-Muslim tourists over age 17 may be allowed to import 2 bottles of liquor and 12 cans of beer for personal use.","441.5320"
"Maldives","-1","-1","","543.6170"
"Bahrain","-1","-1","No info provided by WHO. Alcohol is illegal for Muslims, and drinking in public is forbidden. Only certain places are allowed to sell alcohol. Drinking age is 18 for non-Muslims.","1748.2960"
"Qatar","-1","-1","No info provided by WHO; other sources say that alcohol is banned for Muslims. Alcohol for non-Muslims is highly restricted and may be purchased at certain hotels or with a permit to shop at a government­-owned store. The country has said it intends to find “creative” solutions for the alcohol restrictions while hosting the 2022 World Cup.","2930.5280"
"Kuwait","-1","-1","No info provided by WHO; Alcohol has been banned since 1964 and drinking has been a criminal offense since 1983.","4328.5500"
"Mauritania","-1","-1","","4775.1190"
"Libya","-1","-1","","6958.5320"
"United Arab Emirates","-1","-1","No info provided by WHO; other sources say alcohol is banned in UAE, but non-Muslim tourists may apply for a drinking license. The license is apparently very difficult to obtain and may be limited to those over 18 or 21, depending on location.","9991.0890"
"Somalia","-1","-1","","16359.5040"
"Yemen","-1","-1","In 2012, Al Qaeda militants reportedly gave four people 80 lashes each for drinking alcohol.","30490.6400"
"Saudi Arabia","-1","-1","","35340.6830"
"Afghanistan","-1","-1","","39835.4280"
"Sudan","-1","-1","","44909.3530"
"Iran","-1","-1","The alcohol ban was instituted after the 1979 revolution. In 2012, an Iranian news organization reported that two people were sentenced to death for drinking alcohol following two previous convictions for those same people, for which each received 80 lashes. A 2004 WHO report noted that “Religious minorities can buy alcoholic beverages from very few specifically licensed shops owned by shopkeepers of the same minority.”","85028.7590"
"Bangladesh","-1","-1","Alcohol is illegal for Muslims and purchase by others is highly restricted. Non-Muslim tourists are allowed to bring two bottles of alcohol for personal use.","166303.4980"
"Pakistan","-1","-1","Alcohol is illegal for Muslims and consumption is a crime in Pakistan punishable by whipping. Non-Muslims more than 21 are are provided special permits to purchase liquor but they are not allowed to use it in public. Pakistan penal code, under the Prohibition (Enforcement of Hadd) Order of 1979, awards 80 lashes to those convicted of consuming alcohol.","225199.9370"
